Issue key,Issue Link,Summary,Status,Priority,Affect Versions,Created,Commit Count,Commit SHAs,Commit GitHub URLs
HBASE-28748,https://issues.apache.org/jira/browse/HBASE-28748,Replication blocking: InvalidProtocolBufferException$InvalidWireTypeException: Protocol message tag had invalid wire type.,Resolved,Critical,['2.6.0'],22/Jul/24 09:57,2,8c2e5f32; 839a5f4c,https://github.com/apache/hbase/commit/8c2e5f32870ecd05a1d8019b8985573094f45650; https://github.com/apache/hbase/commit/839a5f4c40a292f075c95ce4619cbadf42b000c3
HBASE-28109,https://issues.apache.org/jira/browse/HBASE-28109,NPE for the region state: Failed to become active master (HMaster),Resolved,Major,['2.4.17'],23/Sep/23 20:58,5,865a5954; 736595fe; b955b89d; ec298ebc; a4811464,https://github.com/apache/hbase/commit/865a59547b3058100c834a28b29ea3e10839f8e3; https://github.com/apache/hbase/commit/736595fe99a58f8c94c67d696a6ba79c94b8d7e5; https://github.com/apache/hbase/commit/b955b89d3a2a8f3d5aed313ba461efd17d5d4680; https://github.com/apache/hbase/commit/ec298ebca579bd6e84b2bf213f0c333c157d2382; https://github.com/apache/hbase/commit/a4811464bad7a2dcbe31291af9e8be511da5741a
HBASE-28105,https://issues.apache.org/jira/browse/HBASE-28105,NPE in QuotaCache if Table is dropped from cluster,Resolved,Major,"['2.4.17', '2.5.5']",21/Sep/23 01:36,5,79fbbc3e; 897fcf8f; 5f7415e8; 04826d18; 48eddedd,https://github.com/apache/hbase/commit/79fbbc3ef44fc599eee61c6170342fc1b49bf39b; https://github.com/apache/hbase/commit/897fcf8f2c228cb41ef716b87a180c1c3968e4bd; https://github.com/apache/hbase/commit/5f7415e87b0a447640ea172ad311fdf53230b025; https://github.com/apache/hbase/commit/04826d189e095448491822d7abe4bc2452c25f7b; https://github.com/apache/hbase/commit/48eddedde909096cf65d77ae0fe18297d13ec524
HBASE-27335,https://issues.apache.org/jira/browse/HBASE-27335,HBase shell hang for a minute when quiting,Resolved,Major,"['2.5.0', '2.5.1', '2.6.0']",26/Aug/22 14:47,3,fd27d68b; 5f6998b9; 6a7a91a2,https://github.com/apache/hbase/commit/fd27d68b183658a0c06c644cd7639d1ed12eaaad; https://github.com/apache/hbase/commit/5f6998b9558dc78a655e2494f99508605996cc0a; https://github.com/apache/hbase/commit/6a7a91a256be7b51efb48cb341d9f0f9d21eb8ef
HBASE-25981,https://issues.apache.org/jira/browse/HBASE-25981,JVM crash when displaying regionserver UI,Resolved,Major,"['2.0.0', '3.0.0-alpha-1']",08/Jun/21 06:10,4,471e8159; 3267c1b8; 7436a345; b6837295,https://github.com/apache/hbase/commit/471e8159f0376d234a7089b536b7aa3c4950bb7e; https://github.com/apache/hbase/commit/3267c1b815ce3c5c55bbebe2a713eb3e932ab2ef; https://github.com/apache/hbase/commit/7436a345be7690a2c811b54e1960a7aac10dd967; https://github.com/apache/hbase/commit/b6837295f35c97ccedd2c7a7e4c6deb50acc3289
HBASE-25929,https://issues.apache.org/jira/browse/HBASE-25929,RegionServer JVM crash when compaction,Resolved,Critical,"['2.3.5', '2.4.3', '2.5.0', '3.0.0-alpha-1']",27/May/21 04:58,4,4671cb18; 62f3b1c2; 2dd7ec9d; 1267bdb1,https://github.com/apache/hbase/commit/4671cb1801c50c49312289a97a63ad9612bfdb88; https://github.com/apache/hbase/commit/62f3b1c29b2617cb5e5223c794d28b931fa241b1; https://github.com/apache/hbase/commit/2dd7ec9d9e8713185cb094be12f0430af649d7f7; https://github.com/apache/hbase/commit/1267bdb1a4d17701639702cdd111f1da719b4fb8
HBASE-25905,https://issues.apache.org/jira/browse/HBASE-25905,Shutdown of WAL stuck at waitForSafePoint,Resolved,Blocker,"['2.0.0', '3.0.0-alpha-1']",24/May/21 08:11,3,358c4dc9; f5af7611; 774484ed,https://github.com/apache/hbase/commit/358c4dc9022c507ee0159c1d4916aba41d42cde8; https://github.com/apache/hbase/commit/f5af7611c0dbbb5ea7d65ef5d916fa363aa0e82c; https://github.com/apache/hbase/commit/774484ed44f892e990fac6746d425339a3340cb5
HBASE-24813,https://issues.apache.org/jira/browse/HBASE-24813,ReplicationSource should clear buffer usage on ReplicationSourceManager upon termination,Resolved,Major,"['2.2.6', '2.3.4', '2.4.0', '2.5.0', '3.0.0-alpha-1']",03/Aug/20 19:20,5,85842634; e8850984; 687e53b7; 3242c8a3; b46ffb4b,https://github.com/apache/hbase/commit/85842634e518155db3c964bf15555291d5fbdd45; https://github.com/apache/hbase/commit/e88509841f1d4d8080ff539d5308b6bed0ac8595; https://github.com/apache/hbase/commit/687e53b7e49c1a149e55829bbeca6aa4edfe69e7; https://github.com/apache/hbase/commit/3242c8a3d1e10e80e9c3603b1199b56940bd17a5; https://github.com/apache/hbase/commit/b46ffb4b415969b4b74a31c14770ba7e83df9732
HBASE-22451,https://issues.apache.org/jira/browse/HBASE-22451,TestLoadIncrementalHFiles and TestSecureLoadIncrementalHFiles are flaky,Resolved,Major,['1.5.0'],22/May/19 00:51,3,ac6d5436; 8f60ed5a; 5beba8fd,https://github.com/apache/hbase/commit/ac6d5436821a725428e0e091ac59dbd3f375d321; https://github.com/apache/hbase/commit/8f60ed5a659d55b926fedc017cf72de3884163cf; https://github.com/apache/hbase/commit/5beba8fd4e30f7b85e5e896d6a5d4662178a92df
HBASE-20940,https://issues.apache.org/jira/browse/HBASE-20940,HStore.cansplit should not allow split to happen if it has references,Resolved,Major,['1.3.2'],25/Jul/18 10:12,5,e8eb3665; 0ebcd11d; 25a62962; b6cc5d80; 9573f762,https://github.com/apache/hbase/commit/e8eb3665142fb157ff000b25c687123908e7f63e; https://github.com/apache/hbase/commit/0ebcd11da0bfc83cc73026c477e78266911f24bf; https://github.com/apache/hbase/commit/25a62962166ec0d0b42d54bf7857b2dfea76cc7a; https://github.com/apache/hbase/commit/b6cc5d8078225acac8cb0237d7b216d7d077ea62; https://github.com/apache/hbase/commit/9573f7629bd35d799d8491e21ab6399b46d3f3a4
HBASE-20723,https://issues.apache.org/jira/browse/HBASE-20723,Custom hbase.wal.dir results in data loss because we write recovered edits into a different place than where the recovering region server looks for them,Closed,Critical,"['1.4.0', '1.4.1', '1.4.2', '1.4.3', '1.4.4', '2.0.0']",13/Jun/18 01:47,5,ac5bb815; 2702f23a; c7923def; 6fa9f0be; b2afba58,https://github.com/apache/hbase/commit/ac5bb8155b618194fe9cf1131f0e72c99b7b534c; https://github.com/apache/hbase/commit/2702f23a4addaa459d6f221c0008be0c556f672d; https://github.com/apache/hbase/commit/c7923def7fa4ececdcf6593b3c8a3d97ecc2caad; https://github.com/apache/hbase/commit/6fa9f0bea936b984bbe5a0207a1b367786c2c113; https://github.com/apache/hbase/commit/b2afba580b4b9285973b57812741857cf480be4c
HBASE-20565,https://issues.apache.org/jira/browse/HBASE-20565,ColumnRangeFilter combined with ColumnPaginationFilter can produce incorrect result since 1.4,Resolved,Major,"['1.4.4', '2.0.1', '2.1.0']",10/May/18 19:47,5,a888af3d; 31bc54ab; 0b7081e6; 5add9686; 1dbfe92d,https://github.com/apache/hbase/commit/a888af3dc9320a5dc3c2e41e46e31522c7a0e356; https://github.com/apache/hbase/commit/31bc54abddb93383ce7b9c66c986994562682f82; https://github.com/apache/hbase/commit/0b7081e67a618900fe368ec17aff8ab64842c426; https://github.com/apache/hbase/commit/5add96868ab4e6338521b1f85df5594b910f7531; https://github.com/apache/hbase/commit/1dbfe92dbf0e1bee8576ea5977619099f4aefdb2
HBASE-20476,https://issues.apache.org/jira/browse/HBASE-20476,Open sequence number could go backwards in AssignProcedure,Resolved,Major,"['2.0.0', '2.1.0', '3.0.0-alpha-1']",23/Apr/18 07:56,5,4be96dd8; 39cf42be; 96ed407c; 8886c844; e8603e1d,https://github.com/apache/hbase/commit/4be96dd8a61bedc15021740157682605b6445265; https://github.com/apache/hbase/commit/39cf42be9a9a3bcbf5db90903d2d4b438551d4ce; https://github.com/apache/hbase/commit/96ed407c691ac0686fb14cdcd8680d1849e24ae8; https://github.com/apache/hbase/commit/8886c844f9edb359e5fc5be462645cbc27b4e65b; https://github.com/apache/hbase/commit/e8603e1d7cf80d556a13ad318e004c34911d5f52
HBASE-18880,https://issues.apache.org/jira/browse/HBASE-18880,Failed to start rest server if the value of hbase.rest.threads.max is too small.,Resolved,Critical,"['2.0.0-alpha-4', '3.0.0-alpha-1']",26/Sep/17 12:33,2,845b83b8; 7e953474,https://github.com/apache/hbase/commit/845b83b8b679697a072ee91ea1d3ced52dabbe5b; https://github.com/apache/hbase/commit/7e9534746c641dab81f910eedd33cca42cb8a9aa
HBASE-18233,https://issues.apache.org/jira/browse/HBASE-18233,We shouldn't wait for readlock in doMiniBatchMutation in case of deadlock,Resolved,Blocker,['1.2.7'],18/Jun/17 12:50,4,e1d69503; 9f102b29; 6c490625; 2f7a6f21,https://github.com/apache/hbase/commit/e1d6950381daeb46f0218fc1de3256e88cfc0a1f; https://github.com/apache/hbase/commit/9f102b293f1f211aff84af3c09873414767c5805; https://github.com/apache/hbase/commit/6c490625aa102ed33a99352b7b308e2a9c2f3c35; https://github.com/apache/hbase/commit/2f7a6f21eb5938d7c2126d64282d03bef0eeff9b
HBASE-17538,https://issues.apache.org/jira/browse/HBASE-17538,HDFS.setStoragePolicy() logs errors on local fs,Closed,Major,['2.0.0'],25/Jan/17 20:41,2,c725d4d3; f35bcd2f,https://github.com/apache/hbase/commit/c725d4d334e3b6ce4ed9cdaa1a84bba101f78ec3; https://github.com/apache/hbase/commit/f35bcd2fe3e27d2ff211c731a7300d80c658bcb3
HBASE-17069,https://issues.apache.org/jira/browse/HBASE-17069,RegionServer writes invalid META entries for split daughters in some circumstances,Resolved,Blocker,"['1.2.4', '1.3.0', '1.4.0', '2.0.0']",10/Nov/16 23:42,5,0d656b13; 0446ed0f; fe00b59a; 3f9cb1ae; 9d9decb4,https://github.com/apache/hbase/commit/0d656b1394c1bfb702199998d69efbd10f879d2f; https://github.com/apache/hbase/commit/0446ed0f0c662608a7816a9c3fc3becacc682fb4; https://github.com/apache/hbase/commit/fe00b59a3f11a0fffad271934d56ad8f733ca86b; https://github.com/apache/hbase/commit/3f9cb1ae2c8b316354d2ded7c41275cb27499ce0; https://github.com/apache/hbase/commit/9d9decb4d9179cc64e3a5d9753376ed69c517a0a
