Issue key,Issue Link,Summary,Status,Priority,Affect Versions,Created,Commit Count,Commit SHAs,Commit GitHub URLs
ZOOKEEPER-4293,https://issues.apache.org/jira/browse/ZOOKEEPER-4293,Lock Contention in ClientCnxnSocketNetty (possible deadlock),Closed,Critical,['3.5.8'],11/May/21 18:13,2,9df310a9; 56229885,https://github.com/apache/zookeeper/commit/9df310a9df6e03ca24d7671f10e78fff7b618084; https://github.com/apache/zookeeper/commit/5622988532246e4ff382e59f9014057fe05f2554
ZOOKEEPER-3829,https://issues.apache.org/jira/browse/ZOOKEEPER-3829,Zookeeper refuses request after node expansion,Closed,Major,"['3.5.8', '3.6.1']",15/May/20 03:12,5,f6c9bac7; e91455c1; 96002ff3; a97526b6; 9d0e3742,https://github.com/apache/zookeeper/commit/f6c9bac7d39e790171762e522fedb7b3af66d3c7; https://github.com/apache/zookeeper/commit/e91455c1e3c50405666cd8afad71d99dceb7b340; https://github.com/apache/zookeeper/commit/96002ff3442c2266642b44e387b97d1144775ba7; https://github.com/apache/zookeeper/commit/a97526b6e762cad5b5350394a8d6568278a3d5ce; https://github.com/apache/zookeeper/commit/9d0e3742ad7420ab81480a70113dea457564398f
ZOOKEEPER-3769,https://issues.apache.org/jira/browse/ZOOKEEPER-3769,fast leader election does not end if leader is taken down,Closed,Major,['3.5.7'],24/Mar/20 18:49,3,a5482534; f6df585b; 68466c87,https://github.com/apache/zookeeper/commit/a548253408384d9e943b151c942d795017dca70c; https://github.com/apache/zookeeper/commit/f6df585ba4f1f5a012461d9c15c55e541d64f97a; https://github.com/apache/zookeeper/commit/68466c8767fa1b3ab0e355278921752392e2ea8b
ZOOKEEPER-3756,https://issues.apache.org/jira/browse/ZOOKEEPER-3756,Members failing to rejoin quorum,Closed,Major,"['3.5.6', '3.5.7']",11/Mar/20 20:43,3,4d8caf98; e30991d8; 97db6936,https://github.com/apache/zookeeper/commit/4d8caf9851f63073145996fd4a535278014d01be; https://github.com/apache/zookeeper/commit/e30991d8aa068c6ede2c33476ab4a25493fd1c49; https://github.com/apache/zookeeper/commit/97db6936745bdf548f90c2383647eab62d017254
ZOOKEEPER-2579,https://issues.apache.org/jira/browse/ZOOKEEPER-2579,ZooKeeper server should verify that dataDir and snapDir are writeable before starting,Closed,Major,"['3.4.9', '3.5.2']",13/Sep/16 20:49,3,ec20c543; 17b93773; ebacab00,https://github.com/apache/zookeeper/commit/ec20c5434cc8a334b3fd25e27d26dccf4793c8f3; https://github.com/apache/zookeeper/commit/17b93773cdd9546e6a72604a0722eed05dbb9bbe; https://github.com/apache/zookeeper/commit/ebacab00875ac8ce4700e9a14c12219f2de00cd5
ZOOKEEPER-2383,https://issues.apache.org/jira/browse/ZOOKEEPER-2383,Startup race in ZooKeeperServer,Closed,Blocker,['3.4.8'],08/Mar/16 17:00,3,eac693cc; d99d93a4; 9efc3d3d,https://github.com/apache/zookeeper/commit/eac693cc76a34f96b9116ef33d1e92af7129416d; https://github.com/apache/zookeeper/commit/d99d93a46cba7caf5ed44dfe4c2447a34ad0e383; https://github.com/apache/zookeeper/commit/9efc3d3dedefc7db9255b5b11bd77ed518399e3f
ZOOKEEPER-2347,https://issues.apache.org/jira/browse/ZOOKEEPER-2347,Deadlock shutting down zookeeper,Resolved,Blocker,['3.4.7'],16/Dec/15 21:01,1,09cd5db5,https://github.com/apache/zookeeper/commit/09cd5db55446a4b390f82e3548b929f19e33430d
ZOOKEEPER-2172,https://issues.apache.org/jira/browse/ZOOKEEPER-2172,Cluster crashes when reconfig a new node as a participant,Closed,Critical,['3.5.0'],21/Apr/15 04:14,2,c38787f3; 45e784f1,https://github.com/apache/zookeeper/commit/c38787f355b6dcd612fc57db0202fc68a01108f7; https://github.com/apache/zookeeper/commit/45e784f17a3d12d190b02c534f0bccbacceb88e3
ZOOKEEPER-2052,https://issues.apache.org/jira/browse/ZOOKEEPER-2052,Unable to delete a node when the node has no children,Resolved,Major,"['3.4.6', '3.5.0']",02/Oct/14 07:08,3,783382d8; 5591a49b; 53b0644f,https://github.com/apache/zookeeper/commit/783382d89c58561a9ac8b3d886b4b564a7b211c9; https://github.com/apache/zookeeper/commit/5591a49be229384a2e7384ca65e34b9ac20ed9ae; https://github.com/apache/zookeeper/commit/53b0644f1c1e6cc70ea9847a4dfde5e8d42dd69a
ZOOKEEPER-1891,https://issues.apache.org/jira/browse/ZOOKEEPER-1891,StaticHostProviderTest.testUpdateLoadBalancing times out,Resolved,Major,['3.5.0'],10/Mar/14 23:33,1,85aac3dd,https://github.com/apache/zookeeper/commit/85aac3dd0b1d925c20bacecc72c3da9940b296c7
ZOOKEEPER-1870,https://issues.apache.org/jira/browse/ZOOKEEPER-1870,flakey test in StandaloneDisabledTest.startSingleServerTest,Resolved,Blocker,['3.4.6'],28/Jan/14 18:45,1,7e262c71,https://github.com/apache/zookeeper/commit/7e262c717d4b99972278ee1e112bdd81dd171c02
ZOOKEEPER-1732,https://issues.apache.org/jira/browse/ZOOKEEPER-1732,ZooKeeper server unable to join established ensemble,Closed,Blocker,['3.4.5'],19/Jul/13 16:14,2,c6ee0139; 42dea0dc,https://github.com/apache/zookeeper/commit/c6ee0139d58250ac07ddfa3692c9adec488339bf; https://github.com/apache/zookeeper/commit/42dea0dcfe6dd67d2bae6d3dc4646891a0dca3df
ZOOKEEPER-1557,https://issues.apache.org/jira/browse/ZOOKEEPER-1557,jenkins jdk7 test failure in testBadSaslAuthNotifiesWatch,Closed,Major,"['3.4.5', '3.5.0']",04/Oct/12 23:03,2,10abb60d; 8aa5794e,https://github.com/apache/zookeeper/commit/10abb60db7ca7eed540dc637ecfd638dce4edc40; https://github.com/apache/zookeeper/commit/8aa5794e74f469088d3c77035f17c120c53026ab
ZOOKEEPER-1496,https://issues.apache.org/jira/browse/ZOOKEEPER-1496,Ephemeral node not getting cleared even after client has exited,Resolved,Critical,['3.4.3'],28/Jun/12 10:24,3,139d1d9c; d612bb4c; 10705ba6,https://github.com/apache/zookeeper/commit/139d1d9c4b78424708b01f239211ed83e9279fc6; https://github.com/apache/zookeeper/commit/d612bb4cca0f916b055ed49bc4845dc71b699740; https://github.com/apache/zookeeper/commit/10705ba6e763eade42e8a2e54acabc181f5b2400
ZOOKEEPER-1489,https://issues.apache.org/jira/browse/ZOOKEEPER-1489,Data loss after truncate on transaction log,Resolved,Blocker,"['3.3.5', '3.4.3']",18/Jun/12 09:09,3,43eedab1; 17a97240; ca4b3f35,https://github.com/apache/zookeeper/commit/43eedab16b074f7b87da98ac0af60092bb0c52fd; https://github.com/apache/zookeeper/commit/17a972402d9401ac7e0a5c8d4c8cc923734db07b; https://github.com/apache/zookeeper/commit/ca4b3f356af910b225d3a739bd9393c7663b2693
ZOOKEEPER-1319,https://issues.apache.org/jira/browse/ZOOKEEPER-1319,Missing data after restarting+expanding a cluster,Closed,Blocker,['3.4.0'],06/Dec/11 03:06,2,22e2d238; 09112fa1,https://github.com/apache/zookeeper/commit/22e2d238cdae7ff77ae69bcad3876d2f0fd3dd84; https://github.com/apache/zookeeper/commit/09112fa12a462ea0be8a1637c1db60615f40002f
ZOOKEEPER-1264,https://issues.apache.org/jira/browse/ZOOKEEPER-1264,FollowerResyncConcurrencyTest failing intermittently,Closed,Blocker,"['3.3.3', '3.4.0', '3.5.0']",28/Oct/11 04:23,5,f8f15de5; 3994a2aa; a3fca96f; 41ec40fb; d00f43a1,https://github.com/apache/zookeeper/commit/f8f15de5fe447409a2987262b8e878be224dab25; https://github.com/apache/zookeeper/commit/3994a2aa08ef1f5b7de7da9ebcbe61554dac07e4; https://github.com/apache/zookeeper/commit/a3fca96fe96fed29a29ba3bd63a2f009cbbacad1; https://github.com/apache/zookeeper/commit/41ec40fb9b16fe7c63f62b5095ff959b4973bc05; https://github.com/apache/zookeeper/commit/d00f43a19bd42060ee2375ffbcab4653f6927778
